3.7615e+9, 1.3767e+24
3.8076e+9, 2.9449e+24
3.8744e+9, 5.1642e+24
3.9015e+9, 1.0812e+25
3.9700e+9, 1.8961e+25
3.9978e+9, 3.9698e+25
4.0680e+9, 6.8726e+25
4.0964e+9, 1.4287e+26
4.1683e+9, 2.5125e+26
4.1975e+9, 6.0341e+26
4.2712e+9, 1.0357e+27
4.3010e+9, 1.9131e+27
4.3765e+9, 3.3821e+27
4.4409e+9, 7.2769e+27
6.2627e+9, 1.1024e+28
8.9678e+9, 1.2633e+28
1.7815e+10, 1.1469e+28
3.1732e+10, 8.2355e+27
4.9206e+10, 5.5802e+27
6.8377e+10, 3.5811e+27
9.1607e+10, 2.2906e+27
1.3695e+11, 1.4581e+27
2.2848e+11, 1.2086e+27
3.4577e+11, 1.6247e+27
4.6323e+11, 2.4754e+27
6.0566e+11, 3.8027e+27
8.0158e+11, 5.9353e+27
1.0739e+12, 9.0125e+27
1.4564e+12, 1.4321e+28
2.2040e+12, 2.1042e+28
3.6769e+12, 2.3223e+28
6.1342e+12, 1.9637e+28
1.0110e+13, 1.4237e+28
1.6662e+13, 1.0307e+28
2.7797e+13, 9.2816e+27
4.6374e+13, 8.4260e+27
7.7365e+13, 7.6264e+27
1.2878e+14, 6.9977e+27
2.1533e+14, 6.0712e+27
3.5923e+14, 4.7889e+27
5.9930e+14, 3.8373e+27
9.9982e+14, 2.9853e+27
1.6680e+15, 2.5184e+27
2.7827e+15, 2.3649e+27
4.6424e+15, 2.1023e+27
7.1117e+15, 1.8823e+27
