2.1018e+9, 2.5912e-25
2.3805e+9, 2.7853e-25
2.6961e+9, 2.9997e-25
3.0536e+9, 3.2243e-25
3.4584e+9, 3.4725e-25
3.9169e+9, 3.7327e-25
4.4362e+9, 3.9395e-25
5.0244e+9, 4.1299e-25
5.6906e+9, 4.3253e-25
6.4450e+9, 4.5430e-25
7.2995e+9, 4.7948e-25
8.2673e+9, 5.0605e-25
9.3634e+9, 5.3409e-25
1.0605e+10, 5.6969e-25
1.2011e+10, 6.1118e-25
1.3603e+10, 6.5570e-25
1.5407e+10, 7.0210e-25
1.7449e+10, 7.5252e-25
1.9763e+10, 8.0733e-25
2.2383e+10, 8.6613e-25
2.5351e+10, 9.2832e-25
2.8712e+10, 9.9115e-25
3.2518e+10, 1.0593e-24
3.6830e+10, 1.1320e-24
4.1713e+10, 1.2098e-24
4.7243e+10, 1.2929e-24
5.3507e+10, 1.3411e-24
6.0601e+10, 1.3607e-24
6.8635e+10, 1.3765e-24
7.7735e+10, 1.3952e-24
8.8041e+10, 1.4168e-24
9.9714e+10, 1.5259e-24
1.1293e+11, 1.6899e-24
1.2791e+11, 1.8643e-24
1.4487e+11, 2.0508e-24
1.6407e+11, 1.9525e-24
1.8582e+11, 1.7664e-24
2.1046e+11, 1.7277e-24
2.3836e+11, 1.9525e-24
2.6997e+11, 2.2002e-24
3.0576e+11, 2.4889e-24
3.4630e+11, 2.7884e-24
3.9221e+11, 3.0117e-24
4.4421e+11, 3.2249e-24
5.0311e+11, 3.4933e-24
5.6981e+11, 3.9783e-24
6.4535e+11, 4.5613e-24
7.3092e+11, 5.2298e-24
8.2782e+11, 6.0020e-24
9.3758e+11, 6.8750e-24
1.0619e+12, 8.0591e-24
1.2027e+12, 9.5938e-24
1.3621e+12, 1.1432e-23
1.5427e+12, 1.3780e-23
1.7472e+12, 1.7065e-23
1.9789e+12, 2.1133e-23
2.2413e+12, 2.6171e-23
2.5384e+12, 3.2410e-23
2.8750e+12, 4.0213e-23
3.2378e+12, 5.0393e-23
3.6258e+12, 6.3283e-23
4.0603e+12, 7.9640e-23
4.5468e+12, 1.0001e-22
5.1206e+12, 1.2626e-22
5.7995e+12, 1.5940e-22
6.5684e+12, 1.9835e-22
7.4392e+12, 2.4873e-22
8.4255e+12, 3.1401e-22
9.4352e+12, 3.8721e-22
